name,type,breed,age
"Dog, bush",Speothos vanaticus,Erinaceus frontalis,887
Red-winged blackbird,Agelaius phoeniceus,Cynomys ludovicianus,888
"Bat, madagascar fruit",Pteropus rufus,Alces alces,889
"Monkey, bleeding heart",Theropithecus gelada,Pavo cristatus,890
Red-winged blackbird,Agelaius phoeniceus,Cyrtodactylus louisiadensis,891
"Wallaby, dama",Macropus eugenii,Lasiodora parahybana,892
Yellow-billed hornbill,Tockus flavirostris,Thamnolaea cinnmomeiventris,893
"Francolin, swainson's",Francolinus swainsonii,Herpestes javanicus,894
Tree porcupine,Coendou prehensilis,Papio cynocephalus,895
Praying mantis (unidentified),unavailable,Gyps bengalensis,896
"Fox, cape",Vulpes chama,unavailable,897
Paca,Agouti paca,Caiman crocodilus,898
"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,Bettongia penicillata,899
African snake (unidentified),unavailable,Loris tardigratus,900
"Colobus, black and white",Colobus guerza,Chelodina longicollis,901
Yellow-necked spurfowl,Francolinus leucoscepus,Bucorvus leadbeateri,902
"Rat, arboral spiny",Echimys chrysurus,Choloepus hoffmani,903
Praying mantis (unidentified),unavailable,Zalophus californicus,904
"Rat, desert kangaroo",Dipodomys deserti,Anas bahamensis,905
Asiatic jackal,Canis aureus,Ciconia episcopus,906
"Coatimundi, white-nosed",Nasua narica,Bubalornis niger,907
Lappet-faced vulture,Aegypius tracheliotus,Mungos mungo,908
"Civet, common palm",Paradoxurus hermaphroditus,Colobus guerza,909
Northern phalarope,Phalaropus lobatus,Semnopithecus entellus,910
White-necked raven,Corvus albicollis,Eudyptula minor,911
Bontebok,Damaliscus dorcas,Didelphis virginiana,912
"Roadrunner, greater",Geococcyx californianus,Cygnus buccinator,913
"Dragon, ornate rock",Ctenophorus ornatus,Naja haje,914
"Wolf, mexican",Canis lupus baileyi,Lorythaixoides concolor,915
"Vulture, white-rumped",Gyps bengalensis,Lamprotornis nitens,916
"Pigeon, feral rock",Columba livia,Varanus albigularis,917
"Marten, american",Martes americana,Gekko gecko,918
"Deer, savannah",Mazama gouazoubira,Anser anser,919
Gray rhea,Rhea americana,Corallus hortulanus cooki,920
Fringe-eared oryx,Oryx gazella callotis,Alopex lagopus,921
"Wallaroo, common",Macropus robustus,Mycteria ibis,922
Striped hyena,Hyaena hyaena,Myotis lucifugus,923
Euro wallaby,Macropus robustus,Zenaida asiatica,924
"Capuchin, white-fronted",Cebus albifrons,Hymenolaimus malacorhynchus,925
"Macaque, rhesus",Macaca mulatta,Porphyrio porphyrio,926
"Rat, white-faced tree",Echimys chrysurus,Spermophilus richardsonii,927
Swallow (unidentified),unavailable,Neotis denhami,928
Common duiker,Sylvicapra grimma,Trichoglossus haematodus moluccanus,929
"Butterfly, tropical buckeye",Junonia genoveua,Tadorna tadorna,930
"Cat, jungle",Felis chaus,Choloepus hoffmani,931
American marten,Martes americana,Larus novaehollandiae,932
"Marmot, hoary",Marmota caligata,Mazama gouazoubira,933
"Capuchin, weeper",Cebus nigrivittatus,Speotyte cuniculata,934
"Boar, wild",Sus scrofa,Milvus migrans,935
Bahama pintail,Anas bahamensis,Lasiodora parahybana,936
Sandhill crane,Grus canadensis,Spilogale gracilis,937
Asian lion,Panthera leo persica,Nesomimus trifasciatus,938
Bohor reedbuck,Redunca redunca,Cervus unicolor,939
Malagasy ground boa,Acrantophis madagascariensis,Zosterops pallidus,940
Western palm tanager (unidentified),unavailable,Bos mutus,941
Urial,Ovis orientalis,Dasyurus maculatus,942
Egyptian viper,Naja haje,Cynomys ludovicianus,943
"Toucan, red-billed",Ramphastos tucanus,Trichoglossus haematodus moluccanus,944
"Toucan, red-billed",Ramphastos tucanus,Anastomus oscitans,945
"Otter, african clawless",Aonyx capensis,Ictalurus furcatus,946
Egyptian cobra,Naja haje,Lepus townsendii,947
"Rattlesnake, eastern diamondback",Crotalus adamanteus,Trachyphonus vaillantii,948
Sea birds (unidentified),unavailable,Ciconia episcopus,949
"Swan, black",Cygnus atratus,unavailable,950
"Cat, ringtail",Bassariscus astutus,Branta canadensis,951
Water moccasin,Agkistrodon piscivorus,Mycteria ibis,952
White-throated toucan,Ramphastos tucanus,Callipepla gambelii,953
"Egret, great",Casmerodius albus,Zosterops pallidus,954
"White-eye, cape",Zosterops pallidus,Thalasseus maximus,955
"Elephant, asian",Elephas maximus bengalensis,Lophoaetus occipitalis,956
Pale white-eye,Zosterops pallidus,Vulpes vulpes,957
King cormorant,Phalacrocorax albiventer,Agama sp.,958
"Seal, common",Phoca vitulina,Butorides striatus,959
"Shrew, mandras tree",Anathana ellioti,Canis lupus lycaon,960
"Squirrel, indian giant",Ratufa indica,Papio ursinus,961
Gray heron,Ardea cinerea,Laniaurius atrococcineus,962
Red-billed buffalo weaver,Bubalornis niger,Felis caracal,963
"Screamer, crested",Chauna torquata,Bucorvus leadbeateri,964
"Dog, raccoon",Nyctereutes procyonoides,Climacteris melanura,965
"Lemur, ring-tailed",Lemur catta,Cervus canadensis,966
Asian elephant,Elephas maximus bengalensis,Hymenolaimus malacorhynchus,967
Capybara,Hydrochoerus hydrochaeris,Lemur fulvus,968
Blackbuck,Antilope cervicapra,Milvago chimachima,969
Hanuman langur,Semnopithecus entellus,Geococcyx californianus,970
"Goose, cereopsis",Cereopsis novaehollandiae,Dasyurus viverrinus,971
Gray duiker,Sylvicapra grimma,Threskionis aethiopicus,972
Cook's tree boa,Corallus hortulanus cooki,Dasyurus maculatus,973
"Hedgehog, south african",Erinaceus frontalis,Damaliscus dorcas,974
Royal tern,Thalasseus maximus,Phascogale calura,975
Squirrel glider,Petaurus norfolcensis,Cervus elaphus,976
Asiatic jackal,Canis aureus,Canis aureus,977
Black-throated cardinal,Paroaria gularis,Prionace glauca,978
Blesbok,Damaliscus dorcas,Mazama gouazoubira,979
"Badger, european",Meles meles,Phylurus milli,980
Emerald-spotted wood dove,Turtur chalcospilos,Choloepus hoffmani,981
"Monster, gila",Heloderma horridum,Neotis denhami,982
Black-tailed tree creeper,Climacteris melanura,Eolophus roseicapillus,983
"Wallaby, whip-tailed",Macropus parryi,Dasypus novemcinctus,984
"Lemur, sportive",Lepilemur rufescens,Cordylus giganteus,985
White-tailed deer,Odocoilenaus virginianus,Axis axis,986
"Waxbill, black-cheeked",Estrilda erythronotos,Colobus guerza,987
"White-eye, pale",Zosterops pallidus,Felis chaus,988
"Otter, oriental short-clawed",Aonyx cinerea,Ciconia episcopus,989
African darter,Anhinga rufa,Semnopithecus entellus,990
Salmon pink bird eater tarantula,Lasiodora parahybana,Anhinga rufa,991
Red phalarope,Phalaropus fulicarius,Amphibolurus barbatus,992
"Crow, pied",Corvus albus,Cacatua tenuirostris,993
"Porcupine, african",Hystrix cristata,Ctenophorus ornatus,994
"Boa, columbian rainbow",Epicrates cenchria maurus,Herpestes javanicus,995
"Gull, silver",Larus novaehollandiae,Macropus agilis,996
Common zebra,Equus burchelli,Naja haje,997
Mexican beaded lizard,Heloderma horridum,Bos mutus,998
Yellow-billed hornbill,Tockus flavirostris,Cercatetus concinnus,999
Purple grenadier,Uraeginthus granatina,Gymnorhina tibicen,1000
